	Length [m]	Value [°C]	
1	0.	713.57	
2	2.0833e-008	710.43	
3	4.1667e-008	661.73	
4	6.25e-008	612.61	
5	8.3333e-008	573.79	
6	1.0417e-007	547.85	
7	1.25e-007	530.35	
8	1.4583e-007	519.	
9	1.6667e-007	511.86	
10	1.875e-007	507.41	
11	2.0833e-007	504.65	
12	2.2917e-007	502.94	
13	2.5e-007	501.85	
14	2.7083e-007	501.14	
15	2.9167e-007	500.69	
16	3.125e-007	500.45	
17	3.3333e-007	500.29	
18	3.5417e-007	500.17	
19	3.75e-007	500.11	
20	3.9583e-007	500.07	
21	4.1667e-007	500.04	
22	4.375e-007	500.03	
23	4.5833e-007	500.02	
24	4.7917e-007	500.01	
25	5.e-007	500.01	
26	5.2083e-007	500.	
27	5.4167e-007	500.	
28	5.625e-007	500.	
29	5.8333e-007	500.	
30	6.0417e-007	500.	
31	6.25e-007	500.	
32	6.4583e-007	500.	
33	6.6667e-007	500.	
34	6.875e-007	500.	
35	7.0833e-007	500.	
36	7.2917e-007	500.	
37	7.5e-007	500.	
38	7.7083e-007	500.	
39	7.9167e-007	500.	
40	8.125e-007	500.	
41	8.3333e-007	500.	
42	8.5417e-007	500.	
43	8.75e-007	500.	
44	8.9583e-007	500.	
45	9.1667e-007	500.	
46	9.375e-007	500.	
47	9.5833e-007	500.	
48	9.7917e-007	500.	
49	1.e-006	500.	
