Study Name	Tungsten_Calibration
Sample Name	2025-11-07
Run Name	spot00
Operator	Keshav
Date	11/7/2025
Time	16:14
Sign	NEG
Grating Spacing	07.60um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	4
dt	50.000001E-12
time stamp (ms)	4:18:36 PM
	
Time	Amplitude
0.000000E+0	-3.768459E-4
5.000000E-11	-3.562905E-4
1.000000E-10	-3.049022E-4
1.500000E-10	-2.158290E-4
2.000000E-10	-9.592290E-5
2.500000E-10	2.740915E-5
3.000000E-10	1.473153E-4
3.500000E-10	2.603697E-4
4.000000E-10	3.528687E-4
4.500000E-10	4.008312E-4
5.000000E-10	4.145347E-4
5.500000E-10	4.179606E-4
6.000000E-10	4.111088E-4
6.500000E-10	3.837017E-4
7.000000E-10	3.425910E-4
7.500000E-10	3.117580E-4
8.000000E-10	2.740732E-4
8.500000E-10	2.226849E-4
9.000000E-10	1.747224E-4
9.500000E-10	1.267600E-4
1.000000E-9	5.139038E-5
1.050000E-9	-3.425687E-5
1.100000E-9	-1.164782E-4
1.150000E-9	-1.986996E-4
1.200000E-9	-2.774951E-4
1.250000E-9	-3.323093E-4
1.300000E-9	-3.597164E-4
1.350000E-9	-3.665682E-4
1.400000E-9	-3.562905E-4
1.450000E-9	-3.288834E-4
1.500000E-9	-2.740692E-4
1.550000E-9	-1.986996E-4
1.600000E-9	-1.199041E-4
1.650000E-9	-6.166400E-5
1.700000E-9	-2.055331E-5
1.750000E-9	6.853807E-6
1.800000E-9	6.853807E-6
1.850000E-9	-2.397920E-5
1.900000E-9	-6.851578E-5
1.950000E-9	-1.130523E-4
2.000000E-9	-1.541630E-4
2.050000E-9	-1.781443E-4
2.100000E-9	-1.747184E-4
2.150000E-9	-1.575889E-4
2.200000E-9	-1.267559E-4
2.250000E-9	-7.536756E-5
2.300000E-9	-2.740509E-5
2.350000E-9	-6.849754E-6
2.400000E-9	6.853807E-6
2.450000E-9	2.055737E-5
2.500000E-9	2.026354E-9
2.550000E-9	-4.796044E-5
2.600000E-9	-8.907112E-5
2.650000E-9	-1.301818E-4
2.700000E-9	-1.712925E-4
2.750000E-9	-1.918478E-4
2.800000E-9	-1.986996E-4
2.850000E-9	-2.089773E-4
2.900000E-9	-2.124032E-4
2.950000E-9	-1.952737E-4
3.000000E-9	-1.815701E-4
3.050000E-9	-1.986996E-4
3.100000E-9	-2.295326E-4
3.150000E-9	-2.535138E-4
3.200000E-9	-3.049022E-4
3.250000E-9	-3.836977E-4
3.300000E-9	-4.350860E-4
3.350000E-9	-4.453637E-4
3.400000E-9	-4.453637E-4
3.450000E-9	-4.282342E-4
3.500000E-9	-3.699941E-4
3.550000E-9	-2.843469E-4
3.600000E-9	-1.918478E-4
3.650000E-9	-7.879345E-5
3.700000E-9	3.768682E-5
3.750000E-9	1.199082E-4
3.800000E-9	1.781483E-4
3.850000E-9	2.226849E-4
3.900000E-9	2.295367E-4
3.950000E-9	2.021295E-4
4.000000E-9	1.507412E-4
4.050000E-9	8.222339E-5
4.100000E-9	-1.027564E-5
4.150000E-9	-9.249701E-5
4.200000E-9	-1.541630E-4
4.250000E-9	-2.124032E-4
4.300000E-9	-2.535138E-4
4.350000E-9	-2.398103E-4
4.400000E-9	-1.918478E-4
4.450000E-9	-1.404595E-4
4.500000E-9	-8.907112E-5
4.550000E-9	-3.083098E-5
4.600000E-9	2.740915E-5
4.650000E-9	5.824216E-5
4.700000E-9	5.139038E-5
4.750000E-9	1.027970E-5
4.800000E-9	-5.138633E-5
4.850000E-9	-1.233300E-4
4.900000E-9	-2.055514E-4
4.950000E-9	-2.774951E-4
5.000000E-9	-3.220316E-4
5.050000E-9	-3.357352E-4
5.100000E-9	-3.288834E-4
5.150000E-9	-2.946245E-4
5.200000E-9	-2.398103E-4
5.250000E-9	-1.610148E-4
5.300000E-9	-7.536756E-5
5.350000E-9	2.026354E-9
5.400000E-9	4.111271E-5
5.450000E-9	5.481627E-5
5.500000E-9	6.166805E-5
5.550000E-9	5.481627E-5
5.600000E-9	1.713148E-5
5.650000E-9	-3.425687E-5
5.700000E-9	-8.907112E-5
5.750000E-9	-1.404595E-4
5.800000E-9	-1.644407E-4
5.850000E-9	-1.712925E-4
5.900000E-9	-1.815701E-4
5.950000E-9	-1.712925E-4
6.000000E-9	-1.233300E-4
6.050000E-9	-6.166400E-5
6.100000E-9	-1.712742E-5
6.150000E-9	2.398326E-5
6.200000E-9	6.166805E-5
6.250000E-9	9.250106E-5
6.300000E-9	1.096305E-4
6.350000E-9	1.130564E-4
6.400000E-9	9.592695E-5
6.450000E-9	7.537161E-5
6.500000E-9	5.481627E-5
6.550000E-9	2.055737E-5
6.600000E-9	-2.740509E-5
6.650000E-9	-5.823811E-5
6.700000E-9	-6.166400E-5
6.750000E-9	-7.194167E-5
6.800000E-9	-1.130523E-4
6.850000E-9	-1.507371E-4
6.900000E-9	-1.849960E-4
6.950000E-9	-2.295326E-4
7.000000E-9	-2.843469E-4
7.050000E-9	-3.083281E-4
7.100000E-9	-3.117540E-4
7.150000E-9	-3.083281E-4
7.200000E-9	-2.740692E-4
7.250000E-9	-2.021255E-4
7.300000E-9	-1.267559E-4
7.350000E-9	-4.453454E-5
7.400000E-9	4.111271E-5
7.450000E-9	1.027787E-4
7.500000E-9	1.438894E-4
7.550000E-9	1.850001E-4
7.600000E-9	1.952778E-4
7.650000E-9	1.575930E-4
7.700000E-9	9.935284E-5
